site,year,date,method,sample_point,habitat,lat,long,easting,northing,amb_nox_mgL,amb_drp_mgL,amb_nh3_mgL,in_nox_mgL,in_drp_mgL,in_nh3_mgL,flux_drp_mgm2d,flux_nox_mgm2d,flux_nh3_mgm2d,soil_id,water_id,water_depth,phys_wtemp_C,phys_pH,phys_do_mgL,phys_do_pct,phys_spec_cond,phys_turb_fnu,soil_TP_mg_kg,soil_TN_mg_kg,M3_P_mg_kg,M3_Fe_mg_kg,M3_Al_mg_kg,soil_SPSC,M3_Ca_mg_kg,M3_Mg_mg_kg,M3_K_mg_kg,WE_srp_mg_kg,WE_nh3_mg_kg,WE_nox_mg_kg,soil_pH,ECw_uS_cm,bulk_density_g_cm3,N2_flux_mg_m2_d,O2_flux_mg_m2_d,TOC_mg_kg,resin_accum_top_drp_mgm2d,resin_accum_bottom_drp_mgm2d,resin_accum_top_nox_mgm2d,resin_accum_bottom_nox_mgm2d,resin_accum_top_nh3_mgm2d,resin_accum_bottom_nh3_mgm2d
MAGM,2022,20220719,rb,4,sav,41.60554667,-83.15206667,320669,4608218,0.206005,0.085155,0.2175,NA,NA,NA,-6.000985803,0.031605188,6.806091085,S02540,W04037,34.5,27.5,7.08,2.35,35.4,398.5,5.57,477.0682008,1612.946485,28.50159617,424.5810056,900.8379888,98.43154208,6312.849162,336.0933759,172.5857941,NA,NA,NA,NA,NA,1.555587703,NA,NA,NA,9.48,3.48,0.81,0.84,13.54,20.35
MAGM,2022,20220719,rb,5,sav,41.60599167,-83.15003833,320839,4608264,0.007795,0.021515,0.016335,NA,NA,NA,0.693127541,1.071914568,-16.08925532,S02541,W04038,74,26,8.1,8.54,114.2,280.5,1.93,432.6140649,2134.346125,19.4425841,512.2868477,274.4835403,40.43092895,7755.396425,364.0204008,165.9883571,NA,NA,NA,NA,NA,0.874258756,NA,NA,NA,1.17,1.87,0.74,1.26,19.38,3.29
MAGM,2022,20220719,rb,6,sav,41.60626167,-83.14928167,320903,4608292,0.01264,0.028315,0.01737,NA,NA,NA,12.4556337,-0.830400501,7.196745502,S02542,W04039,63.5,26.6,7.19,4.91,66.2,339.2,9.13,516.8032123,4573.558031,29.47291818,503.4826905,176.5256264,18.66620214,4493.19056,610.2505458,122.0501092,NA,NA,NA,NA,NA,0.522902958,NA,NA,NA,6,18.46,0.87,0.04,3.51,10.7
MAGM,2022,20220719,rb,7,hardwoods,41.607515,-83.151535,320719,4608436,0.00604,0.022185,0.014545,NA,NA,NA,2.605142875,-0.364756479,-13.15368299,S02543,W04040,57,26.5,6.68,4.8,59.8,287.9,48.93,403.2153871,1702.029819,17.68261965,437.9848866,525.8438287,66.93763411,5250.377834,397.4811083,166.5491184,NA,NA,NA,NA,NA,1.034628622,NA,NA,NA,2.07,3.54,0.6,0.24,15.68,2.53
MAGM,2022,20220719,rb,8,hardwoods,41.60794833,-83.14990167,320856,4608481,0.006655,0.0143,0.01984,NA,NA,NA,3.689735588,-0.524391374,-0.42021981,S02544,W04041,54.5,26.2,6.88,4.15,52.4,292.4,3.37,478.2139078,3605.767579,29.5481057,506.2636304,666.4299843,74.99323765,4002.637318,670.8931379,167.6725668,NA,NA,NA,NA,NA,0.622040694,NA,NA,NA,1.17,4.86,0.63,0.1,2.78,2.36
MAGM,2022,20220719,rb,9,hardwoods,41.60807667,-83.148755,320952,4608492,0.016955,0.01684,0.022635,NA,NA,NA,-0.297381921,-0.0037559,0.26493661,S02545,W04042,64.5,24.9,6.96,4.02,57.2,292.7,1.75,743.0858438,2326.667571,27.21596775,521.9999017,289.3663045,34.90399404,4188.584632,334.3001819,82.601642,NA,NA,NA,NA,NA,1.145429621,NA,NA,NA,0.59,0.29,0.48,0.47,3.14,3.4
MAGM,2022,20220719,rb,10,typha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAGM,2022,20220719,rb,11,typha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAGM,2022,20220719,rb,12,typha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAGM,2023,20230829,rb,13,sav,41.609015,-83.140934,321606,4608580,0.00615,0.003985,0.01239,NA,NA,NA,NA,-0.508980596,-1.9702511,S02668,W04151,107,19.7,7.28,1.36,15.3,273.2,6.3,671.3794336,7420.853687,24.6701974,432.8358209,290.8040443,32.67896946,8140.587386,456.1386615,260.3755416,NA,NA,NA,NA,NA,0.284292036,NA,NA,NA,NA,NA,1.75,1.24,7.03,5.06
MAGM,2023,20230829,rb,14,sav,41.60969,-83.139559,321723,4608652,0.00615,0.003985,0.01411,NA,NA,NA,1.091429909,NA,-0.819963451,S02669,W04152,107,19.8,7.27,1.37,15.2,273.3,6.28,618.4907634,6309.97706,19.26615095,443.6546101,774.3048296,94.1949663,9264.060213,728.5176667,386.6819987,NA,NA,NA,NA,NA,0.284778005,NA,NA,NA,1.67,2.76,NA,NA,4.06,3.24
MAGM,2023,20230829,rb,15,sav,41.610255,-83.139184,321755,4608714,0.005665,0.0042875,0.015585,NA,NA,NA,0.59265735,0.35679736,-2.110779996,S02670,W04153,106.5,19.7,7.1,1.76,19.4,282.1,25.18,472.8681217,5819.326742,13.03526448,429.5759866,859.0470193,109.3761592,9697.732997,618.7027708,408.3753149,NA,NA,NA,NA,NA,0.408214205,NA,NA,NA,0.63,1.23,0.69,1.05,4.63,2.52
MAGM,2023,20230829,rb,16,sav,41.610487,-83.139184,321756,4608740,0.00615,0.003985,0.01094,NA,NA,NA,0.75255145,NA,-2.148308178,S02671,W04154,96.5,19.7,7.25,2.85,31.6,266.9,13.02,499.3801463,3353.205813,16.21787652,440.4627828,871.3013208,108.2031845,5187.877547,547.5581038,298.3515921,NA,NA,NA,NA,NA,0.840240906,NA,NA,NA,1.32,2.07,NA,NA,5.81,3.67
MAGM,2023,20230829,rb,17,fav,41.611368,-83.141904,321532,4608844,0.00615,0.003985,0.01354,NA,NA,NA,0.91176831,NA,-0.349270026,S02672,W04155,69,19.7,6.97,2.8,32.1,282.1,28.8,456.4015433,4342.108803,6.979423058,421.8765383,1443.339569,182.091222,4392.044895,781.6284336,510.7807423,NA,NA,NA,NA,NA,0.790186069,NA,NA,NA,0.51,1.42,NA,NA,1.04,0.69
MAGM,2023,20230829,rb,18,fav,41.611545,-83.137586,321892,4608854,0.00615,0.003985,0.01504,NA,NA,NA,NA,NA,NA,NA,W04156,96,19.2,6.87,0.87,9.5,267.2,2.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAGM,2023,20230829,rb,19,fav,41.611368,-83.141904,321532,4608844,0.00615,0.003985,0.01139,NA,NA,NA,-0.520183263,-0.499184071,-4.613581313,S02674,W04157,79,19.9,6.96,1.36,14.7,271.9,9.85,522.7318387,5362.238236,20.41730183,411.6806402,771.9131098,90.99922293,8312.690549,470.941311,354.2301829,NA,NA,NA,NA,NA,0.4257091,NA,NA,NA,4.29,3.77,0.98,0.48,8.67,4.06
MAGM,2023,20230829,rb,20,fav,41.609642,-83.137096,321928,4608642,0.00423,0.0043725,0.01385,NA,NA,NA,0.246382344,-0.016660394,-3.817787298,S02675,W04158,93,19.6,6.89,0.59,6.4,281.8,2.58,561.4445183,5879.777039,20.18300654,468.496732,932.496732,112.8160736,7996.862745,547.2418301,427.9215686,NA,NA,NA,NA,NA,0.401896604,NA,NA,NA,2.01,2.25,0.93,0.91,7.85,4.03
MAGM,2023,20230829,rb,21,fav,41.608405,-83.135941,322021,4608502,0.00615,0.003985,0.00997,NA,NA,NA,1.996048705,-0.626237787,-0.493879267,S02676,W04159,75,19.7,6.61,0.59,6.5,325.3,27.29,547.3338125,6456.376452,23.1701161,486.6229177,263.7051994,34.0452019,6400.807673,483.291267,179.6062595,NA,NA,NA,NA,NA,0.431054762,NA,NA,NA,0.26,2.25,1.41,0.78,3.45,2.96
MAGM,2023,20230829,rb,22,fav,41.61054,-83.134727,322128,4608737,0.00615,0.003985,0.0114,NA,NA,NA,-1.673213684,NA,0.433456286,S02677,W04160,87,14.6,6.42,1.92,11.2,401.3,69.02,677.7677355,5876.019465,27.24895904,455.5049869,971.2404377,109.4792866,4642.200058,823.1819502,397.9858623,NA,NA,NA,NA,NA,0.351841767,NA,NA,NA,2.45,0.77,NA,NA,3.42,3.85
MAGM,2023,20230829,rb,23,fav,41.610228,-83.132421,322319,4608697,0.00615,0.003985,0.0125,NA,NA,NA,NA,0.160621435,-2.607943993,S02678,W04161,80,20,6.42,0.34,3.8,533,71.19,650.2411492,6358.776574,20.33783457,500.4598035,988.3355113,120.841749,7699.530516,653.1145637,523.0143749,NA,NA,NA,NA,NA,0.405298389,NA,NA,NA,NA,NA,1.03,1.19,6.22,3.61
MAGM,2023,20230829,rb,24,fav,41.61188,-83.131599,322392,4608879,0.00423,0.0051875,0.0108,NA,NA,NA,NA,-0.096241133,-0.31398229,S02679,W04162,97,NA,6.45,0.7,7.9,347.2,22.72,879.6785773,9961.572189,27.71078549,496.2767235,876.5793899,100.4059763,10146.52895,800.9608455,467.1631035,NA,NA,NA,NA,NA,0.256591786,NA,NA,NA,NA,NA,0.62,0.53,1.06,0.74
